Beskrivelse,Ingrediens,Ingrediens Subkategori,Oppfattet i / som,Fargeindex (tab20)
Gress,Malt,Lys,"Smak, aroma, sødme",11
Høy,Malt,Lys,"Smak, aroma, sødme",11
Korn,Malt,Lys,"Smak, aroma, sødme",11
Kjeks,Malt,Lys,"Smak, aroma, sødme",11
Loff,Malt,Lys,"Smak, aroma, sødme",11
Smørloff,Malt,Lys,"Smak, aroma, sødme",11
Lyst brød,Malt,Lys,"Smak, aroma, sødme",11
Søt malt,Malt,Lys,"Smak, aroma, sødme",11
Brød,Malt,Lys,"Smak, aroma, sødme",11
Lys brødkrumme,Malt,Lys,"Smak, aroma, sødme",11
Ristet loff,Malt,Lys,"Smak, aroma, sødme",11
Ristet brød,Malt,Lys,"Smak, aroma, sødme",11
Brødskorpe,Malt,Lys,"Smak, aroma, sødme",11
Honning,Malt,Lys,"Smak, aroma, sødme",11
Vørter,Malt,Lys,"Smak, aroma, sødme",11
Toffee,Malt,Karamell,"Smak, aroma, sødme",10
Karamell,Malt,Karamell,"Smak, aroma, sødme",10
Nøtter,Malt,Spesialmalt,"Smak, aroma, sødme",10
Røkt skinke,Malt,Spesialmalt,"Smak, aroma, sødme",10
Røkt malt,Malt,Spesialmalt,"Smak, aroma, sødme",10
Orerøkt malt,Malt,Spesialmalt,"Smak, aroma, sødme",10
Bål,Malt,Spesialmalt,"Smak, aroma, sødme",10
Tørket frukt,Malt,Mørk,"Smak, aroma, sødme",9
Rosiner,Malt,Mørk,"Smak, aroma, sødme",9
Banan,Gjær,Ester,"Smak, aroma",19
Nellik,Gjær,Ester,"Smak, aroma",19
Pepper,Gjær,Ester,"Smak, aroma",19
Stall,Gjær,Brett,"Smak, aroma",18
Fjøs,Gjær,Brett,"Smak, aroma",18
Lær,Gjær,Brett,"Smak, aroma",18
Fenolisk,Usmak,Ok for noen stiler,"Smak, aroma",14
