Beskrivelse,Ingrediens,Ingrediens Subkategori,Oppfattet i / som,Fargeindex (tab20b)
Molasse,Sukker,Sukker,"Smak, aroma, sødme",3
Tørket frukt,Sukker,Sukker,"Smak, aroma, sødme",3
Sirup,Sukker,Sukker,"Smak, aroma, sødme",3
Knekk,Sukker,Sukker,"Smak, aroma, sødme",3
Mørk sirup,Sukker,Sukker,"Smak, aroma, sødme",3
Brent knekk,Sukker,Sukker,"Smak, aroma, sødme",3
Gress,Malt,Lys,"Smak, aroma, sødme",10
Høy,Malt,Lys,"Smak, aroma, sødme",10
Korn,Malt,Lys,"Smak, aroma, sødme",10
Kjeks,Malt,Lys,"Smak, aroma, sødme",10
Loff,Malt,Lys,"Smak, aroma, sødme",10
Smørloff,Malt,Lys,"Smak, aroma, sødme",10
Lyst brød,Malt,Lys,"Smak, aroma, sødme",10
Søt malt,Malt,Lys,"Smak, aroma, sødme",10
Brød,Malt,Lys,"Smak, aroma, sødme",10
Lys brødkrumme,Malt,Lys,"Smak, aroma, sødme",10
Ristet loff,Malt,Lys,"Smak, aroma, sødme",10
Ristet brød,Malt,Lys,"Smak, aroma, sødme",10
Brødskorpe,Malt,Lys,"Smak, aroma, sødme",10
Honning,Malt,Lys,"Smak, aroma, sødme",10
Vørter,Malt,Lys,"Smak, aroma, sødme",10
Toffee,Malt,Karamell,"Smak, aroma, sødme",9
Karamell,Malt,Karamell,"Smak, aroma, sødme",9
Nøtter,Malt,Spesialmalt,"Smak, aroma, sødme",9
Røkt skinke,Malt,Spesialmalt,"Smak, aroma, sødme",9
Røkt malt,Malt,Spesialmalt,"Smak, aroma, sødme",9
Orerøkt malt,Malt,Spesialmalt,"Smak, aroma, sødme",9
Bål,Malt,Spesialmalt,"Smak, aroma, sødme",9
Tørket frukt,Malt,Mørk,"Smak, aroma, sødme",8
Rosiner,Malt,Mørk,"Smak, aroma, sødme",8
Ristet brødskorpe,Malt,Mørk,"Smak, aroma, sødme",8
Røstet malt,Malt,Mørk,"Smak, aroma, sødme",8
Brent brødskorpe,Malt,Mørk,"Smak, aroma, sødme",8
