Beskrivelse,Ingrediens,Ingrediens Subkategori,Oppfattet i / som,Fargeindex (tab20)
Gress,Malt,Lys,"Smak, aroma, sødme",11
Høy,Malt,Lys,"Smak, aroma, sødme",11
Korn,Malt,Lys,"Smak, aroma, sødme",11
Kjeks,Malt,Lys,"Smak, aroma, sødme",11
Loff,Malt,Lys,"Smak, aroma, sødme",11
Smørloff,Malt,Lys,"Smak, aroma, sødme",11
Lyst brød,Malt,Lys,"Smak, aroma, sødme",11
Søt malt,Malt,Lys,"Smak, aroma, sødme",11
Brød,Malt,Lys,"Smak, aroma, sødme",11
Lys brødkrumme,Malt,Lys,"Smak, aroma, sødme",11
Ristet loff,Malt,Lys,"Smak, aroma, sødme",11
Ristet brød,Malt,Lys,"Smak, aroma, sødme",11
Brødskorpe,Malt,Lys,"Smak, aroma, sødme",11
Honning,Malt,Lys,"Smak, aroma, sødme",11
Vørter,Malt,Lys,"Smak, aroma, sødme",11
Toffee,Malt,Karamell,"Smak, aroma, sødme",12
Karamell,Malt,Karamell,"Smak, aroma, sødme",12
Nøtter,Malt,Spesialmalt,"Smak, aroma, sødme",13
Røkt skinke,Malt,Spesialmalt,"Smak, aroma, sødme",13
Røkt malt,Malt,Spesialmalt,"Smak, aroma, sødme",13
Orerøkt malt,Malt,Spesialmalt,"Smak, aroma, sødme",13
Bål,Malt,Spesialmalt,"Smak, aroma, sødme",13
Tørket frukt,Malt,Mørk,"Smak, aroma, sødme",14
Rosiner,Malt,Mørk,"Smak, aroma, sødme",14
Banan,Gjær,Ester,"Smak, aroma",15
Nellik,Gjær,Ester,"Smak, aroma",15
Pepper,Gjær,Ester,"Smak, aroma",15
Stall,Gjær,Brett,"Smak, aroma",15
Fjøs,Gjær,Brett,"Smak, aroma",15
Lær,Gjær,Brett,"Smak, aroma",15
Fenolisk,Usmak,Ok for noen stiler,"Smak, aroma",17
