Beskrivelse,Ingrediens,Ingrediens Subkategori,Oppfattet i / som,Fargeindex (tab20)
Gress,Malt,Lys,"Smak, aroma, sødme",11
Høy,Malt,Lys,"Smak, aroma, sødme",11
Korn,Malt,Lys,"Smak, aroma, sødme",11
Kjeks,Malt,Lys,"Smak, aroma, sødme",11
Loff,Malt,Lys,"Smak, aroma, sødme",11
Smørloff,Malt,Lys,"Smak, aroma, sødme",11
Lyst brød,Malt,Lys,"Smak, aroma, sødme",11
Søt malt,Malt,Lys,"Smak, aroma, sødme",11
Brød,Malt,Lys,"Smak, aroma, sødme",11
Lys brødkrumme,Malt,Lys,"Smak, aroma, sødme",11
Ristet loff,Malt,Lys,"Smak, aroma, sødme",11
Ristet brød,Malt,Lys,"Smak, aroma, sødme",11
Brødskorpe,Malt,Lys,"Smak, aroma, sødme",11
Honning,Malt,Lys,"Smak, aroma, sødme",11
Vørter,Malt,Lys,"Smak, aroma, sødme",11
Toffee,Malt,Karamell,"Smak, aroma, sødme",10
Karamell,Malt,Karamell,"Smak, aroma, sødme",10
Nøtter,Malt,Spesialmalt,"Smak, aroma, sødme",10
Røkt skinke,Malt,Spesialmalt,"Smak, aroma, sødme",10
Røkt malt,Malt,Spesialmalt,"Smak, aroma, sødme",10
Orerøkt malt,Malt,Spesialmalt,"Smak, aroma, sødme",10
Bål,Malt,Spesialmalt,"Smak, aroma, sødme",10
Tørket frukt,Malt,Mørk,"Smak, aroma, sødme",9
Rosiner,Malt,Mørk,"Smak, aroma, sødme",9
Ristet brødskorpe,Malt,Mørk,"Smak, aroma, sødme",9
Røstet malt,Malt,Mørk,"Smak, aroma, sødme",9
Brent brødskorpe,Malt,Mørk,"Smak, aroma, sødme",9
Melkesjokolade,Malt,Mørk,"Smak, aroma, sødme",9
Lakris,Malt,Mørk,"Smak, aroma, sødme",9
Tobakk,Malt,Mørk,"Smak, aroma, sødme",9
Mørk sjokolade,Malt,Mørk,"Smak, aroma, sødme",9
Kaffe,Malt,Mørk,"Smak, aroma, sødme",9
Aske,Malt,Mørk,"Smak, aroma, sødme",9
Molasse,Sukker,Sukker,"Smak, aroma, sødme",19
Tørket frukt,Sukker,Sukker,"Smak, aroma, sødme",19
Sirup,Sukker,Sukker,"Smak, aroma, sødme",19
Knekk,Sukker,Sukker,"Smak, aroma, sødme",19
Mørk sirup,Sukker,Sukker,"Smak, aroma, sødme",19
Brent knekk,Sukker,Sukker,"Smak, aroma, sødme",19
Pære,Gjær,Ester,"Smak, aroma",5
Røde epler,Gjær,Ester,"Smak, aroma",5
Plommer,Gjær,Ester,"Smak, aroma",5
Marmelade,Gjær,Ester,"Smak, aroma",5
Tyggegummi,Gjær,Ester,"Smak, aroma",5
Tutti Frutti,Gjær,Ester,"Smak, aroma",5
Banan,Gjær,Ester,"Smak, aroma",5
Nellik,Gjær,Ester,"Smak, aroma",5
